Statistic,Year,Type of Crop,UNIT,VALUE
Area under Crops,1990,Fodder beet,000 Hectares,8.5
Area under Crops,1990,Kale and field cabbage,000 Hectares,2
Area under Crops,1991,"Total wheat, oats and barley",000 Hectares,299.6
Area under Crops,1991,Total wheat,000 Hectares,85.7
Area under Crops,1991,Winter wheat,000 Hectares,66.9
Area under Crops,1991,Spring wheat,000 Hectares,18.8
Area under Crops,1991,Total oats,000 Hectares,20.6
Area under Crops,1991,Winter oats,000 Hectares,11.4
Area under Crops,1991,Spring oats,000 Hectares,9.2
Area under Crops,1991,Total barley,000 Hectares,193.4
Area under Crops,1991,Winter barley,000 Hectares,33.3
Area under Crops,1991,Spring barley,000 Hectares,160.1
Area under Crops,1991,Beans and peas,000 Hectares,2.8
Area under Crops,1991,Oilseed rape,000 Hectares,6.2
Area under Crops,1991,Potatoes,000 Hectares,20.5
Area under Crops,1991,Turnips,000 Hectares,6
Area under Crops,1991,Sugar beet,000 Hectares,33.3
Area under Crops,1991,Fodder beet,000 Hectares,10.1
Area under Crops,1991,Kale and field cabbage,000 Hectares,1.4
Area under Crops,1992,"Total wheat, oats and barley",000 Hectares,295.1
Area under Crops,1992,Total wheat,000 Hectares,90.6
Area under Crops,1992,Winter wheat,000 Hectares,73.3
Area under Crops,1992,Spring wheat,000 Hectares,17.3
Area under Crops,1992,Total oats,000 Hectares,20.1
Area under Crops,1992,Winter oats,000 Hectares,11.6
Area under Crops,1992,Spring oats,000 Hectares,8.4
Area under Crops,1992,Total barley,000 Hectares,184.4
Area under Crops,1992,Winter barley,000 Hectares,40.3
Area under Crops,1992,Spring barley,000 Hectares,144
Area under Crops,1992,Beans and peas,000 Hectares,2.7
Area under Crops,1992,Oilseed rape,000 Hectares,5.9
Area under Crops,1992,Potatoes,000 Hectares,22.1
Area under Crops,1992,Turnips,000 Hectares,5.5
Area under Crops,1992,Sugar beet,000 Hectares,31.3
Area under Crops,1992,Fodder beet,000 Hectares,11
Area under Crops,1992,Kale and field cabbage,000 Hectares,1.9
Area under Crops,1993,"Total wheat, oats and barley",000 Hectares,280.3
Area under Crops,1993,Total wheat,000 Hectares,79.2
Area under Crops,1993,Winter wheat,000 Hectares,57.2
Area under Crops,1993,Spring wheat,000 Hectares,22
Area under Crops,1993,Total oats,000 Hectares,20.2
Area under Crops,1993,Winter oats,000 Hectares,11.4
Area under Crops,1993,Spring oats,000 Hectares,8.8
Area under Crops,1993,Total barley,000 Hectares,180.8
Area under Crops,1993,Winter barley,000 Hectares,39.4
Area under Crops,1993,Spring barley,000 Hectares,141.4
Area under Crops,1993,Beans and peas,000 Hectares,6.1
Area under Crops,1993,Oilseed rape,000 Hectares,3.4
Area under Crops,1993,Potatoes,000 Hectares,21.6
Area under Crops,1993,Turnips,000 Hectares,5.2
Area under Crops,1993,Sugar beet,000 Hectares,32.2
Area under Crops,1993,Fodder beet,000 Hectares,10.9
Area under Crops,1993,Kale and field cabbage,000 Hectares,1.8
Area under Crops,1994,"Total wheat, oats and barley",000 Hectares,264.7
Area under Crops,1994,Total wheat,000 Hectares,74.1
Area under Crops,1994,Winter wheat,000 Hectares,56.2
Area under Crops,1994,Spring wheat,000 Hectares,17.9
Area under Crops,1994,Total oats,000 Hectares,20.9
Area under Crops,1994,Winter oats,000 Hectares,13.3
Area under Crops,1994,Spring oats,000 Hectares,7.6
Area under Crops,1994,Total barley,000 Hectares,169.7
Area under Crops,1994,Winter barley,000 Hectares,31.7
Area under Crops,1994,Spring barley,000 Hectares,138
Area under Crops,1994,Beans and peas,000 Hectares,5.6
Area under Crops,1994,Oilseed rape,000 Hectares,6.4
Area under Crops,1994,Potatoes,000 Hectares,21.4
Area under Crops,1994,Turnips,000 Hectares,5.6
Area under Crops,1994,Sugar beet,000 Hectares,35.4
Area under Crops,1994,Fodder beet,000 Hectares,9.8
Area under Crops,1994,Kale and field cabbage,000 Hectares,1.8
